booking_count,total_revenue,density_score,avg_revenue_per_booking,hotspot_rank
0.0,0.0,1.9477915002254817e-06,0.0,2629.0
0.0,0.0,4.409774979772757e-06,0.0,978.0
0.0,0.0,5.167316206877632e-06,0.0,724.0
0.0,0.0,4.8225858964415895e-06,0.0,833.0
0.0,0.0,4.620130347915488e-06,0.0,891.0
0.0,0.0,5.033138902604062e-06,0.0,767.0
0.0,0.0,3.145349693371011e-06,0.0,1576.0
0.0,0.0,4.8393764811667955e-06,0.0,825.0
0.0,0.0,3.948850063667274e-06,0.0,1146.0
0.0,0.0,1.526620989308363e-06,0.0,3158.0
0.0,0.0,4.227240176715676e-06,0.0,1034.0
1.0,950.0,4.714818228759719e-06,950.0,866.0
0.0,0.0,1.3630459788035751e-06,0.0,3422.0
0.0,0.0,4.7156808849127815e-06,0.0,865.0
0.0,0.0,7.498168212691767e-07,0.0,4983.0
0.0,0.0,3.5732205576893373e-06,0.0,1343.0
0.0,0.0,2.74901780248175e-06,0.0,1857.0
0.0,0.0,3.5751460301345925e-06,0.0,1341.0
0.0,0.0,2.6480194008218515e-06,0.0,1949.0
0.0,0.0,3.205464452664137e-06,0.0,1532.0
0.0,0.0,3.9032981347131736e-06,0.0,1164.0
0.0,0.0,3.82910189360012e-06,0.0,1201.0
0.0,0.0,4.349296993830253e-06,0.0,998.0
0.0,0.0,2.2829633809306827e-06,0.0,2282.0
0.0,0.0,3.387652277868496e-06,0.0,1429.0
0.0,0.0,2.861999287878948e-06,0.0,1761.0
1.0,88.0,3.85638194672952e-06,88.0,1184.0
383.0,40266.08,4.290054601463179e-06,105.13336814621411,1014.0
0.0,0.0,3.0959021835865083e-06,0.0,1602.0
0.0,0.0,3.6350616926489866e-06,0.0,1302.0
0.0,0.0,3.5744237350804506e-06,0.0,1342.0
0.0,0.0,3.9024861977606535e-06,0.0,1165.0
21.0,18426.670000000002,4.360567409576193e-06,877.4604761904762,995.0
0.0,0.0,4.086023226036822e-06,0.0,1097.0
0.0,0.0,1.00869471891351e-06,0.0,4217.0
195.0,18689.4,7.348963589492932e-07,95.84307692307694,5047.0
0.0,0.0,3.6168779668915216e-06,0.0,1311.0
0.0,0.0,1.1360700691817677e-06,0.0,3867.0
0.0,0.0,3.046510107215851e-06,0.0,1637.0
