admin_id,booking_count,total_revenue,density_score,avg_revenue_per_booking,hotspot_rank
grid_164,0.0,0.0,1.0939862432158838e-21,0.0,213.0
grid_165,0.0,0.0,1.5950192390215445e-31,0.0,282.0
grid_166,0.0,0.0,2.819917686092418e-49,0.0,377.0
grid_167,0.0,0.0,6.045376832516302e-75,0.0,497.0
grid_168,0.0,0.0,1.5715447922217462e-108,0.0,655.0
grid_169,0.0,0.0,4.953892643887437e-150,0.0,825.0
grid_170,0.0,0.0,1.8935765127643663e-199,0.0,1018.0
grid_171,0.0,0.0,8.776787145610583e-257,0.0,1216.0
grid_172,0.0,0.0,4.94e-322,0.0,1419.0
grid_173,0.0,0.0,0.0,0.0,1427.0
grid_174,0.0,0.0,0.0,0.0,1427.0
grid_175,0.0,0.0,0.0,0.0,1427.0
grid_176,0.0,0.0,0.0,0.0,1427.0
grid_177,0.0,0.0,0.0,0.0,1427.0
grid_178,0.0,0.0,0.0,0.0,1427.0
grid_179,0.0,0.0,0.0,0.0,1427.0
grid_180,0.0,0.0,0.0,0.0,1427.0
grid_181,0.0,0.0,0.0,0.0,1427.0
grid_182,0.0,0.0,0.0,0.0,1427.0
grid_183,0.0,0.0,0.0,0.0,1427.0
grid_184,0.0,0.0,0.0,0.0,1427.0
grid_185,0.0,0.0,0.0,0.0,1427.0
grid_186,0.0,0.0,0.0,0.0,1427.0
grid_187,0.0,0.0,0.0,0.0,1427.0
grid_188,0.0,0.0,0.0,0.0,1427.0
grid_189,0.0,0.0,0.0,0.0,1427.0
grid_190,0.0,0.0,0.0,0.0,1427.0
grid_191,0.0,0.0,0.0,0.0,1427.0
grid_192,0.0,0.0,0.0,0.0,1427.0
grid_193,0.0,0.0,0.0,0.0,1427.0
grid_194,0.0,0.0,0.0,0.0,1427.0
grid_195,0.0,0.0,0.0,0.0,1427.0
grid_196,0.0,0.0,0.0,0.0,1427.0
grid_197,0.0,0.0,0.0,0.0,1427.0
grid_198,0.0,0.0,0.0,0.0,1427.0
grid_199,0.0,0.0,0.0,0.0,1427.0
grid_200,0.0,0.0,0.0,0.0,1427.0
grid_201,0.0,0.0,0.0,0.0,1427.0
grid_202,0.0,0.0,0.0,0.0,1427.0
grid_203,0.0,0.0,0.0,0.0,1427.0
grid_204,0.0,0.0,0.0,0.0,1427.0
grid_205,0.0,0.0,0.0,0.0,1427.0
grid_206,0.0,0.0,0.0,0.0,1427.0
grid_207,0.0,0.0,0.0,0.0,1427.0
grid_208,0.0,0.0,0.0,0.0,1427.0
grid_209,0.0,0.0,0.0,0.0,1427.0
grid_210,0.0,0.0,0.0,0.0,1427.0
grid_211,0.0,0.0,0.0,0.0,1427.0
grid_212,0.0,0.0,0.0,0.0,1427.0
grid_213,0.0,0.0,0.0,0.0,1427.0
grid_214,0.0,0.0,0.0,0.0,1427.0
grid_215,0.0,0.0,0.0,0.0,1427.0
grid_216,0.0,0.0,0.0,0.0,1427.0
grid_217,0.0,0.0,0.0,0.0,1427.0
grid_218,0.0,0.0,0.0,0.0,1427.0
grid_219,0.0,0.0,0.0,0.0,1427.0
grid_220,0.0,0.0,0.0,0.0,1427.0
grid_221,0.0,0.0,0.0,0.0,1427.0
grid_222,0.0,0.0,0.0,0.0,1427.0
grid_223,0.0,0.0,0.0,0.0,1427.0
grid_224,0.0,0.0,0.0,0.0,1427.0
grid_225,0.0,0.0,0.0,0.0,1427.0
grid_226,0.0,0.0,0.0,0.0,1427.0
grid_227,0.0,0.0,0.0,0.0,1427.0
grid_228,0.0,0.0,0.0,0.0,1427.0
grid_229,0.0,0.0,0.0,0.0,1427.0
grid_230,0.0,0.0,0.0,0.0,1427.0
grid_231,0.0,0.0,0.0,0.0,1427.0
grid_232,0.0,0.0,0.0,0.0,1427.0
grid_233,0.0,0.0,0.0,0.0,1427.0
grid_234,0.0,0.0,0.0,0.0,1427.0
grid_235,0.0,0.0,0.0,0.0,1427.0
grid_236,0.0,0.0,0.0,0.0,1427.0
grid_237,0.0,0.0,0.0,0.0,1427.0
grid_238,0.0,0.0,0.0,0.0,1427.0
grid_239,0.0,0.0,0.0,0.0,1427.0
grid_240,0.0,0.0,0.0,0.0,1427.0
grid_241,0.0,0.0,0.0,0.0,1427.0
grid_242,0.0,0.0,0.0,0.0,1427.0
grid_243,0.0,0.0,0.0,0.0,1427.0
grid_244,0.0,0.0,0.0,0.0,1427.0
grid_245,0.0,0.0,0.0,0.0,1427.0
grid_246,0.0,0.0,0.0,0.0,1427.0
grid_247,0.0,0.0,0.0,0.0,1427.0
grid_248,0.0,0.0,0.0,0.0,1427.0
grid_249,0.0,0.0,0.0,0.0,1427.0
grid_250,0.0,0.0,0.0,0.0,1427.0
grid_251,0.0,0.0,0.0,0.0,1427.0
grid_252,0.0,0.0,0.0,0.0,1427.0
grid_253,0.0,0.0,0.0,0.0,1427.0
grid_254,0.0,0.0,0.0,0.0,1427.0
grid_255,0.0,0.0,0.0,0.0,1427.0
grid_256,0.0,0.0,0.0,0.0,1427.0
grid_257,0.0,0.0,0.0,0.0,1427.0
