original_city,canonical_city,changed,original_bookings,canonical_bookings
cordoba,Córdoba,True,789,5489
"Güímar, Santa Cruz de Tenerife","Güímar, Santa Cruz de Tenerife",False,787,787
Puigcerdà,Puigcerdà,False,784,784
Cantabria,Cantabria,False,779,779
"A Guarda, Pontevedra","Redondela, Pontevedra",True,779,3088
"Busquístar, Granada",Granada,True,774,8287
Arenas de San Pedro,Arenas de San Pedro,False,770,770
"San José, Almería",Las Negras,True,769,2194
"Porqueres, Girona,","L'Escala, Girona",True,768,3166
"Terrades, Girona",Roses,True,767,3009
"Ventolà, Girona","Vall-llobrega, Girona",True,767,2228
Alcarràs,Alcarràs,False,766,766
Pedraza,Segovia,True,764,7214
Inca,Inca,False,760,760
"Abanillas, Cantabria",Santander,True,756,6325
"Alcalá la Real, Jaén",Granada,True,756,8287
Alhama de Aragón,Alhama de Aragón,False,755,755
"Vecindario, Gran Canaria. ","Vecindario, Gran Canaria. ",False,753,753
Benifallet,Valderrobres,True,753,3742
Eljas,Eljas,False,753,753
Playa Honda,Playa Honda,False,748,748
Arona,Arona,False,746,746
El Provencio,El Provencio,False,744,744
"Las Rozas, Asturias","Las Rozas, Asturias",False,744,744
Las Palmas de Gran Canarias,Las Palmas de Gran Canaria,True,743,3255
"Vilaverd, Tarragona",Tarragona,True,742,3075
Cabo de Palos,Torrevieja,True,740,5325
Bellver de la Cerdanya,Bellver de la Cerdanya,False,732,732
"Laspaúles, Huesca","Laspaúles, Huesca",False,731,731
Oleiros,A Coruña,True,729,6609
"Cañadas del Romero, Mazarrón",MURCIA,True,726,4577
Sigüenza,Sigüenza,False,718,718
SANTO DOMINGO DE LA CALZADA,Santo Domingo de la Calzada,True,713,10773
Caldes D Estrac,Barcelona,True,710,27987
El Burgo de Osma,El Burgo de Osma,False,705,705
"Vejer de la Frontera, Cádiz",Vejer de la frontera,True,703,3092
JEREZ DE LA FRONTERA,Jerez de la Frontera,True,700,4517
La Orotava,La Orotava,False,700,700
Santiago de Compostela - La Coruña,Santiago de Compostela,True,693,9533
Morro Jable,Morro Jable,False,689,689
Villarreal de San Carlos,Villarreal de San Carlos,False,689,689
"Punta Umbría, Huelva",Mazagón,True,681,5413
Alajeró - La Gomera,Alajeró - La Gomera,False,681,681
Santa Cruz de Tenerife,Santa cruz de Tenerife,True,678,2045
"El Algar, Cartagena",Torrevieja,True,676,5325
Hondarribia,San Sebastián-Donostia,True,673,3497
Santo Domingo de la Cazada,Santo Domingo de la Calzada,True,671,10773
"Mogarraz, Salamanca","Mogarraz, Salamanca",False,667,667
Covas - Ames,Santiago de Compostela,True,666,9533
Colmenar del Arroyo,Madrid,True,663,61315
"Santillana del Mar, Cantabria",Santander,True,662,6325
Peñafiel,Valladolid,True,657,5769
Eivissa,La Savina,True,654,2758
 La Vall de Laguar,Denia,True,654,2751
Ulldemolins,Cambrils,True,653,2341
Cuellar,Valladolid,True,649,5769
Vimbodí i Poblet,Tarragona,True,646,3075
La Aldea de San Nicolás,La Aldea de San Nicolás,False,644,644
"Cubells, Lleida",Cervera,True,644,3682
Arroyo de la Encomienda,Valladolid,True,641,5769
Deltebre,Cambrils,True,638,2341
Teruel,Teruel,False,632,632
Toledo ,Toledo,True,631,19599
Argés,Toledo,True,629,19599
"Villalón de Campos, Valladolid","Villalón de Campos, Valladolid",False,627,627
RONDA,Setenil de las Bodegas,True,627,5204
Playa del Ingles,Playa del Ingles,False,624,624
"Planoles, Girona","Planoles, Girona",False,623,623
Villalba de Rioja,Santo Domingo de la Calzada,True,621,10773
LA CÁNDANA DE CURUEÑO - LEÓN,León,True,618,5305
Campllong,Tossa de Mar,True,613,2191
Riu de Cerdanya,Riu de Cerdanya,False,610,610
Maria de la Salut,Maria de la Salut,False,609,609
"Ossa de Montiel, Albacete, ","Ossa de Montiel, Albacete, ",False,606,606
Dehesa de Campoamor,Torrevieja,True,603,5325
"Setenil  de las bodegas, Cádiz,",Setenil de las Bodegas,True,601,5204
Vilallonga de Ter (Girona),Vilallonga de Ter (Girona),False,598,598
"Cóbreces, Cantabria,",Santander,True,596,6325
"Canet de Mar, Barcelona",Barcelona,True,596,27987
Oronz,"Zubiri, Navarra",True,595,2642
Sineu,Sineu,False,593,593
Sunbilla,"Zubiri, Navarra",True,583,2642
Santa Eulalia del Río (Ibiza),La Savina,True,582,2758
Getxo,Castro-Urdiales,True,578,3920
Prado del Rey ,Setenil de las Bodegas,True,574,5204
Maspalomas,Maspalomas,False,573,573
Redondela,Redondela ,True,572,5561
" Dúrcal, Granada",Granada,True,560,8287
Las Breñas,Las Breñas,False,559,559
Llançà,Roses,True,558,3009
Villavieja del Lozoya,Segovia,True,557,7214
MARBELLA,"Marbella, Málaga",True,556,6779
"Puntagorda, La Palma","Puntagorda, La Palma",False,553,553
"Las Rozas, Madrid",Madrid,True,552,61315
Abaurrepea / Abaurrea Baja,"Zubiri, Navarra",True,552,2642
Santa Eulària des Riu,La Savina,True,549,2758
"Baeza, Jaén","Baeza, Jaén",False,549,549
"Calaceite, Teruel",Valderrobres,True,548,3742
Llubí,Llubí,False,547,547
"Talavera de la Reina, Toledo,","Talavera de la Reina, Toledo,",False,545,545
"Grazalema, Cádiz",Setenil de las Bodegas,True,541,5204
Albarracín,Albarracín,False,538,538
Cap d'Artrutx,Fornells,True,537,2574
Algemesi,L'Alcúdia,True,536,2158
"Soo, Las Palmas","Soo, Las Palmas",False,533,533
HUÉSCAR,HUÉSCAR,False,532,532
"El Mallol, Girona","El Mallol, Girona",False,531,531
Elizondo,"Zubiri, Navarra",True,529,2642
Miranda De Ebro,Santo Domingo de la Calzada,True,526,10773
"Ciutadella de Menorca, Illes Balears",Fornells,True,519,2574
Frontera,Frontera,False,518,518
"Congostro, Province of Ourense","Congostro, Province of Ourense",False,517,517
Almería,Almería,False,515,515
Alcalà de Xivert,Alcalà de Xivert,False,515,515
"Xàbia, Alicante,",Denia,True,513,2751
TIAS,TIAS,False,512,512
Pandiello. Cabrales,Pandiello. Cabrales,False,512,512
Caldes d'Estrac,Barcelona,True,509,27987
Valldemossa,Valldemossa,False,509,509
Alcalà ,Alcalà ,False,509,509
Guernica,Bergara,True,508,2465
"San Isidro, Santa Cruz de Tenerife,","San Isidro, Santa Cruz de Tenerife,",False,507,507
