"id","number_of_rooms","max_occupancy","pricing_per_person_activated","max_adults","events_allowed","pets_allowed","smoking_allowed","children_allowed"
"2891",1,3,False,2,False,False,False,False
"64599",1,2,False,2,False,False,False,False
"62386",1,5,False,5,False,False,False,False
"25171",1,5,True,5,False,False,False,False
"59606",1,3,True,3,False,False,False,False
"77892",1,4,True,4,False,False,False,False
"57814",1,6,False,6,False,False,False,False
"70016",1,2,False,2,False,False,False,False
"58070",1,5,True,5,False,False,False,False
"81108",1,1,True,1,False,False,False,False
"33130",1,4,True,3,False,False,False,False
"87467",1,2,False,2,False,False,False,False
"87471",1,2,False,2,False,False,False,False
"93393",1,2,False,2,False,False,False,False
"88283",1,2,True,2,False,False,False,False
"58556",1,7,False,7,False,False,False,False
"58647",1,6,True,6,False,False,False,False
"59456",1,5,True,5,False,False,False,False
"56608",1,7,True,7,False,False,False,False
"18260",8,1,False,1,False,False,False,False
"62694",1,4,False,4,False,False,False,False
"57815",1,4,False,4,False,False,False,False
"13754",1,4,True,4,False,False,False,False
"44215",1,4,True,4,False,False,False,False
"81107",1,3,True,3,False,False,False,False
"71499",2,3,True,3,False,False,False,False
"60550",7,1,True,1,False,False,False,False
"20430",1,2,False,2,False,False,False,False
"59384",1,6,False,6,False,False,False,False
"59459",1,4,False,4,False,False,False,False
"93768",1,1,False,1,False,False,False,False
"825",1,2,False,2,False,False,False,False
"85430",1,2,True,2,False,False,False,False
"74897",1,2,True,2,False,False,False,False
"57591",1,2,True,2,False,False,False,False
"58680",1,16,True,16,False,False,False,False
"61751",3,4,False,2,False,False,False,False
"53023",1,4,False,4,False,False,False,False
"60552",2,5,False,5,False,False,False,False
"64331",1,4,True,4,False,False,False,False
"60553",2,4,False,4,False,False,False,False
"60551",2,5,True,5,False,False,False,False
"57945",1,4,True,4,False,False,False,False
"57946",1,3,True,3,False,False,False,False
"59179",1,4,True,4,False,False,False,False
"55912",1,4,True,4,False,False,False,False
"80393",1,3,False,3,False,False,False,False
"56729",1,2,False,2,False,False,False,False
"13608",1,3,True,3,False,False,False,False
"56372",3,2,False,2,False,False,False,False
"64737",1,6,False,6,False,False,False,False
"30548",1,3,False,3,False,False,False,False
