hotel_id,median_price_premium,median_residual_pct,median_revpar,median_peer_revpar,avg_n_peers,n_periods,diagnosis
13279,0.016468685111037665,2.191885764941394,17.211140410958905,5.388850498827394,49.5,2,UNDERPRICING
13281,0.24190326658627048,2.8683092495546703,15.208731506849317,3.398549499121232,159.5,2,UNDERPRICING
13282,0.19934759587121087,-0.42879116368341347,2.0018679950186797,5.132220780880992,95.5,4,OVERPRICING
13285,0.08264970941784094,0.9552156008554235,5.270804794520547,2.5564062677085815,73.0,6,UNDERPRICING
13296,-0.25665793138135706,2.0399164531632126,16.931919419822723,6.414284994504507,46.0,2,UNDERPRICING
13299,-0.40411891031650937,-0.3028770492634184,2.245931506849315,4.235516282929803,77.0,10,OVERPRICING
13304,-0.015069396419623632,0.5842469470055893,8.464724070450098,5.362997318402506,69.0,2,UNDERPRICING
13313,0.04877752097630053,-0.6742485801047489,1.8418575342465753,5.466555307162185,56.3,10,OVERPRICING
13315,-0.2662913014321161,46.19515818452185,9.99831506849315,0.2609442922374429,1.0,1,UNDERPRICING
13320,-0.28543871780661295,-0.8623762156432132,0.6549249836921069,4.31761789538451,51.0,3,OVERPRICING
13324,0.3213348512837666,-0.03549477933693587,2.5494577625570773,2.0200114901469277,106.5,8,FAIR
13330,0.05319524640762997,-0.8591999320199464,0.4976012176560122,4.410485478985347,67.83333333333333,6,OVERPRICING
