hotel_id,median_price_premium,median_occ_residual,median_expected_residual,median_diagnosis_residual,avg_price,avg_occupancy,n_days,diagnosis
10756,0.05150032307148219,0.09006365802480619,0.0002414102965707667,0.08715238263624059,285.2111333132409,0.29627034,474,FAIR
10758,-0.13006802821042607,0.05656653716359057,-0.0006097002774345919,0.05425662145714846,206.96980840357767,0.22084713,415,FAIR
10764,-0.3107545755852712,0.8156640889188971,-0.0014566773522689668,0.8176349072316745,257.04315789473685,1.0,38,UNDERPRICING
10777,0.007336220376383997,0.03520726175282091,3.438889372233974e-05,0.03672507482398268,565.0110244768013,0.10317354,163,FAIR
10780,0.41430170606058364,0.045066256701697185,0.0019420596175879796,0.04277518692966727,275.63297693297693,0.13857652,481,FAIR
10783,-0.03576075873645851,0.06436277406017148,-0.00016763031486582134,0.06401566373251083,457.1875,0.13068181,8,FAIR
10805,-0.08589494664856778,0.7221259262328358,-0.0004026367857067532,0.7231522209990912,704.8010810810811,0.8108108,37,UNDERPRICING
10807,-0.2819670861425899,0.06960999553118717,-0.0013217345800801497,0.07167747853270123,450.25017550613063,0.18858418,167,FAIR
10813,1.124770657969931,0.9467193753099428,0.005272417762073715,0.944177751625146,2170.007777777778,1.0,9,EXCEPTIONAL_VALUE
10819,-0.16294899584016814,0.10862423708147087,-0.0007638314298938141,0.10897988929834063,212.6881128524716,0.24999969,228,UNDERPRICING
10820,-0.27147901982493716,0.014560443893100253,-0.0012725712535378263,0.01525907733781695,172.6008580578853,0.16625817,468,FAIR
10821,0.35297729247552356,0.14206928606087693,0.0016545984137029215,0.14041468764717402,150.0,0.25,1,EXCEPTIONAL_VALUE
10840,-0.654480279765659,0.16199049811158928,-0.003067908490955392,0.1658157115576387,75.61606871058926,0.32077628,146,UNDERPRICING
10847,0.45565919700330204,0.07202697680279803,0.0021359248898513506,0.07189631339957546,851.7791293859649,0.25904605,152,FAIR
10850,-0.6233758487573557,0.10446103316470917,-0.0029221049412581006,0.10705485657952188,79.09800076423981,0.37400073,411,UNDERPRICING
10851,-0.660654078274979,0.15467593198531931,-0.003096848475021791,0.157693156383652,73.5745288254114,0.4100551,396,UNDERPRICING
10861,-0.07874348725493986,0.026694950514289887,-0.0003691139681754296,0.02687863284345224,482.4531228876862,0.1114854,267,FAIR
