hotel_id,segment,actual_price,actual_occupancy,actual_revpar,peer_median_price,peer_p25,peer_p75,peer_occ_median,price_ratio,pricing_status,price_gap_pct,optimal_price,optimal_occupancy,optimal_revpar,revpar_lift,revpar_lift_pct,price_change,price_change_pct,recommendation
5928,urban_core,179.29880952380955,0.6,107.57928998910248,102.43,82.10625,129.90729651162792,0.08163265,1.750452108989647,overpriced,75.0452108989647,179.29880952380955,0.6,107.57928571428573,0.0,0.0,0.0,0.0,HOLD
5944,urban_fringe,150.0,0.85714287,128.57142984867096,105.375,84.991875,147.69449999999998,0.39285713,1.4234875444839858,overpriced,42.34875444839858,150.0,0.85714287,128.5714305,0.0,0.0,0.0,0.0,HOLD
5956,urban_fringe,61.05833333333334,0.10714286,6.541964350702862,68.19999999999999,56.71116666666667,78.4090909090909,0.06746032,0.8952834799608995,fair,-10.471652003910048,67.16416666666667,0.10296428846,6.915510630842184,0.37354617067551654,5.709999999999997,6.1058333333333366,10.000000000000005,RAISE
5962,rural,72.85714285714288,1.0,72.85714285714288,138.83616666666666,116.5,152.76749999999998,0.42857143,0.5247706315031473,underpriced,-47.522936849685266,130.72326354679802,0.6902460598377284,90.23121759230628,17.374074735163404,23.84676924434192,57.86612068965515,79.42408722109529,RAISE
5989,urban_core,52.765,0.08163265,4.307346850521863,124.8381976744186,95.65,161.825,0.09795918,0.4226671081683872,underpriced,-57.73328918316128,161.825,0.05,8.09125,3.7839032227500002,87.84765700164523,109.05999999999999,206.69004074670707,RAISE
6013,urban_fringe,166.97,0.35714287,59.632144278883935,97.089375,84.3772619047619,116.5,0.23214287,1.7197556375247036,overpriced,71.97556375247036,166.97,0.35714287,59.6321450039,0.0,0.0,0.0,0.0,HOLD
6016,urban_fringe,108.4,0.17857143,19.357143318653108,125.3264027777778,106.875,134.2548015873016,0.23214287,0.8649414456761294,fair,-13.505855432387056,119.24000000000001,0.17160714423,20.462435877985204,1.1052928659852022,5.710000000000011,10.840000000000003,10.000000000000002,RAISE
6046,coastal_town,127.5,0.08571429,10.928571727126837,95.69727272727272,80.17331250000001,111.1406818181818,0.23214287,1.332326370087492,overpriced,33.232637008749194,127.5,0.08571429,10.928571975,0.0,0.0,0.0,0.0,HOLD
6049,urban_core,43.23285714285714,0.14285715,6.17612272507378,69.01818181818182,60.91458333333333,83.75,0.071428575,0.6263980882131567,underpriced,-37.360191178684325,76.76428571428572,0.09964511617414003,7.649186168024878,1.4730634102391642,23.85094124598152,33.53142857142858,77.56005683507915,RAISE
6050,urban_fringe,118.83333333333331,0.14285715,16.976191235085327,98.45713333333332,69.21833333333333,107.077,0.5,1.206955040332273,overpriced,20.69550403322732,118.83333333333331,0.14285715,16.976191324999995,0.0,0.0,0.0,0.0,HOLD
6056,coastal_town,146.07142857142856,0.12698413,18.5487539055092,98.4896144659414,68.36494791666667,121.85935185185188,0.1,1.4831150407431166,overpriced,48.31150407431167,146.07142857142856,0.12698413,18.548753275,0.0,0.0,0.0,0.0,HOLD
6105,urban_core,137.29999999999998,0.17857143,24.517857727408405,112.35,89.79322916666666,161.24409883720932,0.07256236,1.2220738762794836,fair,22.207387627948368,151.03,0.17160714423,25.917826993056902,1.3999696540569033,5.710000000000013,13.730000000000018,10.000000000000014,RAISE
6118,rural,101.82142857142856,0.2,20.364286017737214,105.85777777777778,79.68752747252746,124.25,0.22023809,0.9618700742535656,fair,-3.8129925746434346,112.00357142857142,0.1922,21.52708642857143,1.1628007142857157,5.710000000000007,10.182142857142864,10.000000000000009,RAISE
6120,urban_fringe,46.0,0.011583012,0.5328185334801674,79.8,54.73892857142857,106.81213235294118,0.052622214,0.5764411027568922,underpriced,-42.35588972431078,106.81213235294118,0.05,5.340606617647059,4.807788065647059,902.3312059237492,60.81213235294118,132.20028772378515,RAISE
6124,rural,135.5,0.06122449,8.295918449759483,74.78395238095237,59.419230769230765,98.6125,0.26785713,1.8118860488913144,overpriced,81.18860488913144,135.5,0.06122449,8.295918395,0.0,0.0,0.0,0.0,HOLD
6137,small_town,88.16666666666667,0.14285715,12.595238658289116,83.74464285714285,72.67142857142858,93.27125,0.18163265,1.0528036619257808,fair,5.280366192578076,96.98333333333335,0.13728572114999998,13.3144268561975,0.7191881311974999,5.709999999999999,8.816666666666677,10.000000000000012,RAISE
6206,rural,212.5,0.1904762,40.476191230118275,127.5,111.2325,189.225,0.2857143,1.6666666666666667,overpriced,66.66666666666666,212.5,0.1904762,40.4761925,0.0,0.0,0.0,0.0,HOLD
6249,rural,126.66666666666669,0.06122449,7.755102117856344,71.475,68.45785714285714,87.10964285714286,0.125,1.7721814154133149,overpriced,77.21814154133149,126.66666666666669,0.06122449,7.755102066666668,0.0,0.0,0.0,0.0,HOLD
6251,urban_fringe,89.6923076923077,0.1092437,9.798319411965515,97.47916666666666,64.76851470588235,114.4875,0.08791209,0.920117710884969,fair,-7.988228911503105,98.66153846153847,0.10498319569999999,10.357803600370769,0.5594840465246147,5.709999999999993,8.969230769230776,10.000000000000007,RAISE
6257,rural,125.83333333333331,0.42857143,53.92857196430365,100.9325,95.75,121.12,0.14285715,1.246707783254485,overpriced,24.670778325448516,125.83333333333331,0.42857143,53.92857160833332,0.0,0.0,0.0,0.0,HOLD
6271,rural,121.7375,0.22857143,27.82571444120258,90.18333333333334,80.78069727891156,112.28625,0.21904762,1.3498891147662169,overpriced,34.98891147662169,121.7375,0.22857143,27.825714459624997,0.0,0.0,0.0,0.0,HOLD
6276,coastal_town,108.0,0.062111802,6.708074659109116,101.06666666666666,88.10061813186813,167.91139315230225,0.067132115,1.0686015831134563,fair,6.86015831134565,118.80000000000001,0.059689441722,7.0911056765736005,0.38303106057360026,5.710000000000004,10.800000000000011,10.00000000000001,RAISE
6290,rural,81.75833333333334,0.057142857,4.671904788011065,82.853125,67.0625,90.5625,0.056122452,0.986786356378632,fair,-1.321364362136812,89.93416666666668,0.054914285577,4.938670511462848,0.26676576123784823,5.710000000000016,8.175833333333344,10.000000000000012,RAISE
6291,rural,160.8181818181818,0.26190478,42.119049901312046,74.0,64.63571428571429,81.39750000000001,0.08035715,2.173218673218673,overpriced,117.32186732186732,160.8181818181818,0.26190478,42.119050529090906,0.0,0.0,0.0,0.0,HOLD
6292,rural,81.78,0.08928572,7.301785888373852,78.06944444444444,65.0,93.57083333333334,0.06318682,1.0475289094467175,fair,4.75289094467177,89.95800000000001,0.08580357692,7.718718172569361,0.4169319909693616,5.710000000000022,8.178000000000011,10.000000000000014,RAISE
6297,resort_coastal,155.55555555555551,0.055555556,8.641975373029707,102.2410476190476,85.0275,127.7540934065934,0.05322129,1.521458936289062,overpriced,52.1458936289062,155.55555555555551,0.055555556,8.641975377777776,0.0,0.0,0.0,0.0,HOLD
6298,resort_coastal,82.99333333333334,0.042857144,3.556857240026196,106.50546428571428,72.2825,156.6447222222222,0.05033417,0.7792401440614661,fair,-22.07598559385338,91.29266666666668,0.05,4.564633333333334,1.0077760956266673,28.333329911111214,8.299333333333337,10.000000000000004,RAISE
