hotel_id,target_date,segment,performance,recommendation,current_price,recommended_price,current_revpar,expected_revpar,peer_median_price,best_peer_price,best_peer_revpar,elasticity_used,reasoning,confidence,n_peers
18420,2024-06-15,urban_fringe,underperforming,RAISE,222.73849790764788,310.26,38.18,42.83,245.93,310.26,4609.59,-0.496,Hotel is underpriced vs best peer. Raise to €310.,medium,8
9018,2024-06-15,small_town,underperforming,RAISE,70.19036324786325,85.72,25.45,26.31,66.36,85.72,1102.07,-0.695,Hotel is underpriced vs best peer. Raise to €86.,low,3
12453,2024-06-15,rural,underperforming,LOWER,169.3525,84.23,36.29,23.47,250.0,84.23,2671.28,-0.597,Hotel is overpriced vs best peer. Lower to €84.,low,7
23963,2024-06-15,rural,underperforming,LOWER,72.75,59.09,4.38,3.96,83.6,59.09,1135.87,-0.597,Hotel is overpriced vs best peer. Lower to €59.,medium,9
12764,2024-06-15,urban_fringe,new_hotel,SET,,75.6,,22.68,75.6,126.2,1840.04,-0.496,New hotel. Start at peer median €76.,low,9
25952,2024-06-15,small_town,underperforming,RAISE,61.857368220015275,96.12,10.8,9.82,78.0,96.12,1199.25,-0.749,Hotel is underpriced vs best peer. Raise to €96.,medium,9
11992,2024-06-15,urban_fringe,underperforming,LOWER,912.96875,204.75,179.33,55.68,173.92,204.75,3568.57,-0.496,Hotel is overpriced vs best peer. Lower to €205.,medium,9
10603,2024-06-15,urban_core,new_hotel,SET,,40.31,,12.09,40.31,111.19,306.65,-0.991,New hotel. Start at peer median €40.,low,6
21334,2024-06-15,urban_core,underperforming,INVESTIGATE,133.7340451388889,133.73,57.31,57.31,118.18,152.15,7433.82,-0.844,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,high,8
23155,2024-06-15,major_metro,underperforming,RAISE,119.68832051282052,240.61,43.4,25.0,156.67,240.61,13164.57,-0.706,Hotel is underpriced vs best peer. Raise to €241.,high,9
9966,2024-06-15,urban_fringe,underperforming,RAISE,54.799344375431325,110.19,11.18,11.22,90.96,110.19,5950.19,-0.496,Hotel is underpriced vs best peer. Raise to €110.,medium,8
14302,2024-06-15,resort_coastal,underperforming,LOWER,168.88162703145264,137.06,40.21,35.37,119.54,137.06,6285.27,-0.445,Hotel is overpriced vs best peer. Lower to €137.,medium,8
12472,2024-06-15,urban_core,underperforming,RAISE,107.84081349206349,189.42,15.41,9.47,140.38,189.42,2218.93,-0.991,Hotel is underpriced vs best peer. Raise to €189.,medium,6
15293,2024-06-15,small_town,underperforming,LOWER,260.3066666666667,104.52,37.19,21.62,270.55,104.52,1821.58,-0.749,Hotel is overpriced vs best peer. Lower to €105.,low,4
21999,2024-06-15,coastal_town,underperforming,RAISE,89.64631868131869,125.43,25.61,23.21,99.45,125.43,3529.94,-0.883,Hotel is underpriced vs best peer. Raise to €125.,medium,7
23613,2024-06-15,rural,underperforming,LOWER,276.5358333333333,123.03,150.12,82.73,80.5,123.03,1353.36,-0.43,Hotel is overpriced vs best peer. Lower to €123.,medium,5
15409,2024-06-15,provincial_city,underperforming,RAISE,82.16666666666667,115.48,11.74,9.12,302.44,115.48,1270.24,-1.103,Hotel is underpriced vs best peer. Raise to €115.,medium,8
11575,2024-06-15,major_metro,underperforming,RAISE,115.9366278375149,218.4,22.08,13.61,156.97,218.4,12043.05,-0.761,Hotel is underpriced vs best peer. Raise to €218.,medium,7
24962,2024-06-15,coastal_town,underperforming,INVESTIGATE,130.1325,130.13,5.58,5.58,108.16,149.76,2816.95,-0.883,Price is similar to best peer but RevPAR is lower. Check quality/marketing.,low,8
9826,2024-06-15,resort_coastal,new_hotel,SET,,66.38,,19.91,66.38,105.92,4085.62,-0.445,New hotel. Start at peer median €66.,low,10
12357,2024-06-15,resort_coastal,new_hotel,SET,,212.13,,63.64,212.13,315.21,10311.72,-0.445,New hotel. Start at peer median €212.,low,10
18519,2024-06-15,coastal_town,underperforming,RAISE,197.0,454.76,28.14,22.74,600.0,454.76,1494.2,-0.883,Hotel is underpriced vs best peer. Raise to €455.,low,5
10252,2024-06-15,rural,new_hotel,SET,,100.74,,30.22,100.74,240.75,4104.27,-0.597,New hotel. Start at peer median €101.,low,10
25247,2024-06-15,resort_coastal,underperforming,RAISE,71.42023757988044,138.71,17.49,19.73,113.5,138.71,4319.89,-0.445,Hotel is underpriced vs best peer. Raise to €139.,medium,9
17922,2024-06-15,resort_coastal,underperforming,LOWER,137.39606022408967,112.48,21.59,19.1,124.35,112.48,1687.26,-0.445,Hotel is overpriced vs best peer. Lower to €112.,medium,5
27534,2024-06-15,provincial_city,new_hotel,SET,,101.25,,30.38,101.25,71.77,3916.77,-1.103,New hotel. Start at peer median €101.,low,9
